smiles,solvent,peakwavs_max
COc1ccc(C)c(-c2nnc3sc4cc(=O)ccc-4n-n2-3)c1,CN(C)C=O,388
Cc1ccc(Cl)cc1-c1nnc2sc3cc(=O)c(C(C)(C)C)cc-3n-n1-2,CN(C)C=O,390
COc1c(C)cc(-c2nnc3sc4cc(=O)c(C)cc-4n-n2-3)cc1C,CN(C)C=O,434
CC(=O)Oc1cccc(-c2nnc3sc4cc(=O)c(C(C)(C)C)cc-4n-n2-3)c1C,CN(C)C=O,386
CC(C)(C)c1cc(=O)cc2sc3nnc(-c4c(F)cccc4C(=O)O)n-3-nc1-2,CN(C)C=O,398
Cc1ccccc1-c1nnc2sc3cc(=O)c(C)cc-3n-n1-2,CN(C)C=O,442
Cc1cc(=O)cc2sc3nnc(-c4cccc(Br)c4C)n-3-nc1-2,CN(C)C=O,382
CCc1ccccc1-c1nnc2sc3cc(=O)cc(C(C)(C)C)c-3n-n1-2,CN(C)C=O,394
CC(C)(C)c1cc(=O)cc2sc3nnc(-c4ccc(Br)cc4C(=O)O)n-3-nc1-2,CN(C)C=O,392
CC(C)(C)c1cc2n-n3c(-c4c(F)cccc4C(=O)O)nnc-3sc-2cc1=O,CN(C)C=O,404
O=C(O)C1CCN(c2ccn3c(=O)c4sc5ccc(Cl)c(Cl)c5c4nc3c2)CC1,CN(C)C=O,432
N#Cc1ccc(-c2ccn3c(=O)c4sc5cc(C(F)(F)F)ccc5c4nc3c2)cc1,CN(C)C=O,438
O=C(O)C1CCN(c2ccn3c(=O)c4sc5ccc(Cl)cc5c4nc3c2)CC1,CN(C)C=O,416
COc1ccc(-c2ccn3c(=O)c4sc5ccc(Cl)cc5c4nc3c2)cc1OC,CN(C)C=O,424
N#Cc1ccc(-c2ccn3c(=O)c4sc5ccc(Cl)c(Cl)c5c4nc3c2)cc1,CN(C)C=O,432
N#Cc1ccc(-c2ccn3c(=O)c4sc5ccc(Cl)cc5c4nc3c2)cc1,CN(C)C=O,420
NC(=O)c1ccc(-c2ccn3c(=O)c4sc5cc(Cl)ccc5c4nc3c2)nc1,CN(C)C=O,424
N#Cc1ccc(Oc2ccn3c(=O)c4sc5cc(Cl)ccc5c4nc3c2)cc1,CN(C)C=O,434
O=C(O)c1ccc(-c2ccn3c(=O)c4sc5ccc(Cl)cc5c4nc3c2)nc1,CN(C)C=O,420
N#Cc1ccc(Oc2cc3nc4c(sc5ccc(Cl)c(Cl)c54)c(=O)n3cc2C#N)cc1,CN(C)C=O,438
O=c1c2sc3cc(C(F)(F)F)ccc3c2nc2cc(-c3ccccc3CBr)ccn12,CN(C)C=O,426
N#Cc1ccc(Oc2ccn3c(=O)c4sc5ccc(Cl)cc5c4nc3c2)cc1,CN(C)C=O,426
N#Cc1ccc(-c2cc3nc4c(sc5ccc(Cl)cc54)c(=O)n3cc2C#N)cc1,CN(C)C=O,424
Cc1ccc(-c2ccn3c(=O)c4sc5ccc(Cl)cc5c4nc3c2)nc1,CN(C)C=O,406
N#Cc1ccc(Oc2ccn3c(=O)c4sc5ccc(Cl)c(Cl)c5c4nc3c2)cc1,CN(C)C=O,434
O=c1c2sc3cc(C(F)(F)F)ccc3c2nc2cc(Cl)ccn12,CN(C)C=O,430
O=c1c2sc3ccc(Cl)cc3c2nc2cc(Cl)ccn12,CN(C)C=O,362
O=c1c2sc3cc(C(F)(F)F)ccc3c2nc2cc(Br)ccn12,CN(C)C=O,360
O=c1c2sc3cc(Cl)ccc3c2nc2cc(Br)ccn12,CN(C)C=O,364
N#Cc1cn2c(=O)c3sc4ccc(Cl)cc4c3nc2cc1Cl,CN(C)C=O,424
O=c1c2sc3ccc(Cl)c(Cl)c3c2nc2cc(Cl)ccn12,CN(C)C=O,432
O=c1c2sc3ccc(Cl)cc3c2nc2cc(Br)ccn12,CN(C)C=O,426
O=c1c(C(C)(C)C)cc2nn(c(c3c(N)cc(OC)c(OC)c3)nn4)c4sc2c1,CN(C)C=O,530
O=c1c(C(C)(C)C)cc2nn(c(c3c(C)cc(N)cc3)nn4)c4sc2c1,CN(C)C=O,580
O=c1c(C)cc2nn(c(c3c(C)cc(N)cc3)nn4)c4sc2c1,CN(C)C=O,592
O=c1c(C)cc2nn(c(c3c(N)cc(OC)c(OC)c3)nn4)c4sc2c1,CN(C)C=O,546
O=c1c(C)cc2nn(c(c3ccccc3Br)nn4)c4sc2c1,CN(C)C=O,538
O=c1ccc2nn(c(c3c(C)cc([N+]([O-])=O)cc3)nn4)c4sc2c1,CN(C)C=O,526
O=c1ccc2nn(c(c3c(N)cc(OC)c(OC)c3)nn4)c4sc2c1,CN(C)C=O,440
O=c1ccc2nn(c(c3ccccc3Br)nn4)c4sc2c1,CN(C)C=O,408
O=c1ccc2nn(c(c3cccc([N+]([O-])=O)c3)nn4)c4sc2c1,CN(C)C=O,488
O=c1c(C(C)(C)C)cc2nn(c(c3c(N)cc(OC)c(OC)c3)nn4)c4sc2c1,CN(C)C=O,538
O=c1c(C(C)(C)C)cc2nn(c(c3cccc([N+]([O-])=O)c3)nn4)c4sc2c1,CN(C)C=O,580
